,P/N,Name,Material,Qty per Hand,Volume (mm^3),Total Cost per Hand,Link,Alternative,Notes
,34,obsolete (2x10 Pin),Steel,0,0.159,0,https://www.mcmaster.com/91585A221/,https://us.misumi-ec.com/vona2/detail/110300255260/?HissuCode=MSCSS2-10&PNSearch=MSCSS2-10&searchFlow=results2type&KWSearch=MSCSS2-10,
,35,2x14 Pin,Steel,12,0.194,2.328,https://www.mcmaster.com/91585A226/,https://us.misumi-ec.com/vona2/detail/221000746912/?CategorySpec=00000042687%3a%3aa%0900000042716%3a%3aa&searchFlow=results2products&KWSearch=dowel+pins&Tab=wysiwyg_area_0&curSearch=%7b%22field%22%3a%22%40search%22%2c%22seriesCode%22%3a%22221000746912%22%2c%22innerCode%22%3a%22%22%2c%22sort%22%3a1%2c%22specSortFlag%22%3a0%2c%22allSpecFlag%22%3a0%2c%22page%22%3a1%2c%22pageSize%22%3a%2260%22%2c%2200000042717%22%3a%22nvd00000000000002%22%2c%2200000042701%22%3a%22mig00000001471487%22%2c%22fixedInfo%22%3a%22innerCode%3aMDM00005803346%7c13%22%7d,
,36,2x20 Pin,Steel,2,1,2,https://www.mcmaster.com/91585A240/,https://us.misumi-ec.com/vona2/detail/110300255260/?HissuCode=MSCSS2-20&PNSearch=MSCSS2-20&searchFlow=results2type&KWSearch=MSCSS2-20searchFlow=results2products&KWSearch=undersized+dowel+pins&list=PageSearchResult&Tab=wysiwyg_area_0&curSearch=%7b%22field%22%3a%22%40search%22%2c%22seriesCode%22%3a%22110302390530%22%2c%22innerCode%22%3a%22%22%2c%22sort%22%3a1%2c%22specSortFlag%22%3a0%2c%22allSpecFlag%22%3a0%2c%22page%22%3a1%2c%22pageSize%22%3a%2260%22%2c%2200000042717%22%3a%22nvd00000000000002%22%2c%2200000042701%22%3a%22mig00000001471036%22%2c%2200000042691%22%3a%2200000042691.b!00071%22%2c%22fixedInfo%22%3a%22innerCode%3aMDM00000785063%7c17%22%7d,
,37,UNDERSIZED 2x10 Pin,Steel,19,0.156,2.964,https://www.mcmaster.com/97049A104/,https://us.misumi-ec.com/vona2/detail/110302390530/?searchFlow=results2products&KWSearch=undersized+dowel+pins&list=PageSearchResult&Tab=wysiwyg_area_0&curSearch=%7b%22field%22%3a%22%40search%22%2c%22seriesCode%22%3a%22110302390530%22%2c%22innerCode%22%3a%22%22%2c%22sort%22%3a1%2c%22specSortFlag%22%3a0%2c%22allSpecFlag%22%3a0%2c%22page%22%3a1%2c%22pageSize%22%3a%2260%22%2c%22SP100561991%22%3a%22SP100561991.b!00010%22%2c%2200000042717%22%3a%22nvd00000000000002%22%2c%2200000042701%22%3a%22mig00000001471038%22%2c%22fixedInfo%22%3a%22innerCode%3aMDM00000785060%7c17%22%7d,
,38,UNDERSIZED 2x20 Pin,Steel,1,1.52,1.52,https://us.misumi-ec.com/vona2/detail/110302390530/?searchFlow=results2products&KWSearch=undersized+dowel+pins&list=PageSearchResult&Tab=wysiwyg_area_0&curSearch=%7b%22field%22%3a%22%40search%22%2c%22seriesCode%22%3a%22110302390530%22%2c%22innerCode%22%3a%22%22%2c%22sort%22%3a1%2c%22specSortFlag%22%3a0%2c%22allSpecFlag%22%3a0%2c%22page%22%3a1%2c%22pageSize%22%3a%2260%22%2c%2200000042717%22%3a%22nvd00000000000002%22%2c%2200000042701%22%3a%22mig00000001471036%22%2c%2200000042691%22%3a%2200000042691.b!00071%22%2c%22fixedInfo%22%3a%22innerCode%3aMDM00000785063%7c17%22%7d,https://us.misumi-ec.com/vona2/detail/110302390530/?searchFlow=results2products&KWSearch=undersized+dowel+pins&list=PageSearchResult&Tab=wysiwyg_area_0&curSearch=%7b%22field%22%3a%22%40search%22%2c%22seriesCode%22%3a%22110302390530%22%2c%22innerCode%22%3a%22%22%2c%22sort%22%3a1%2c%22specSortFlag%22%3a0%2c%22allSpecFlag%22%3a0%2c%22page%22%3a1%2c%22pageSize%22%3a%2260%22%2c%2200000042717%22%3a%22nvd00000000000002%22%2c%2200000042701%22%3a%22mig00000001471036%22%2c%2200000042691%22%3a%2200000042691.b!00071%22%2c%22fixedInfo%22%3a%22innerCode%3aMDM00000785063%7c17%22%7d,
,39,UNDERSIZED 2x30 Pin,Steel,1,1.34,1.34,https://us.misumi-ec.com/vona2/detail/110302390530/?searchFlow=results2products&KWSearch=undersized+dowel+pins&list=PageSearchResult&Tab=wysiwyg_area_0&curSearch=%7b%22field%22%3a%22%40search%22%2c%22seriesCode%22%3a%22110302390530%22%2c%22innerCode%22%3a%22%22%2c%22sort%22%3a1%2c%22specSortFlag%22%3a0%2c%22allSpecFlag%22%3a0%2c%22page%22%3a1%2c%22pageSize%22%3a%2260%22%2c%2200000042717%22%3a%22nvd00000000000002%22%2c%2200000042701%22%3a%22mig00000001471024%22%2c%22fixedInfo%22%3a%22innerCode%3aMDMC000004OUEY%7c14%22%7d,https://us.misumi-ec.com/vona2/detail/110302390530/?searchFlow=results2products&KWSearch=undersized+dowel+pins&list=PageSearchResult&Tab=wysiwyg_area_0&curSearch=%7b%22field%22%3a%22%40search%22%2c%22seriesCode%22%3a%22110302390530%22%2c%22innerCode%22%3a%22%22%2c%22sort%22%3a1%2c%22specSortFlag%22%3a0%2c%22allSpecFlag%22%3a0%2c%22page%22%3a1%2c%22pageSize%22%3a%2260%22%2c%2200000042717%22%3a%22nvd00000000000002%22%2c%2200000042701%22%3a%22mig00000001471024%22%2c%22fixedInfo%22%3a%22innerCode%3aMDMC000004OUEY%7c14%22%7d,
,40,M2x6 Flanged Torx Self Tapping Screw,Steel,25,0.403,10.075,https://www.mcmaster.com/catalog/131/3434/96817A406,,
,41,M2x10 Countersunk Torx Self Tapping Screw,Steel,12,0.3,3.6,https://www.mcmaster.com/95893A167/,,
,42,M3x10 Rounded Torx Self Tapping Screw,Steel,9,0.118,1.062,https://www.mcmaster.com/96817A322/,,
,43,M3x5.7 Heat set insert,Brass,4,0.209,0.836,https://www.mcmaster.com/94459A140/,,
,44,Feetech HLS3606M Servo Motor,Comes with purchase of servo from Feetech,7,29.83,208.81,https://www.alibaba.com/product-detail/FEETECH-HLS3606M-6V-6Kg-cm-Torque_1601281149843.html,,
,45,Servo Motor Mount Plate,,,,,,,
,46,Servo Motor Spline Screw M2.3x5,,,,,,,
,47,Servo Motor Plate Screw M2x4,,,,,,,
,48,Connection Board and Cable,,,,,,,
,49,TTLinker Mini UART Signal Conversion Board,PCB,1,1.58,1.58,https://www.alibaba.com/product-detail/TTLinker-Mini-UART-Signal-Conversion-Board_60370504430.html?spm=a2700.prosearch.normal_offer.d_title.7f4d67afnlUSmJ&selectedCarrierCode=SEMI_MANAGED_STANDARD%40%40STANDARD&priceId=948f07dbde4a4c3b9f4bb7ed3c028217,,
,50,ESP32-S3,PCB,1,7.99,7.99,https://www.seeedstudio.com/XIAO-ESP32S3-p-5627.html,,
,,Total,,,,316.482991,,,
,,,,,,,,,
Optional,,Molex Connector,-,7,0.21,1.47,https://www.digikey.com/en/products/detail/molex/0022035035/403302,,For optional soldered breadboard or you can use the Feetech junction boards that come with each servo to daisy chain the servos together and control them or you can buy/make the pcb design we are working on
,,Proto Board,-,1,13.5,13.5,https://www.sparkfun.com/sparkfun-snappable-protoboard.html,,
